Posicion;id;Descripción;Cantidad
A - C4 - N8;310096313;Tope azul;88
A - C5 - N1;303420024;Vaquero variado naranjado;89
A - C5 - N2;127082711;Tope fucsia;98
A - C5 - N3;333390431;Carenaje rojo - Porta ejes negro cuadrado;89
A - C5 - N4;127082731;Tapa roja ;93
A - C5 - N5;304600130;Rectángulo 16 puntos azul / morado - Porta ejes negro cuadrado;97
A - C5 - N6;303421050;Rectángulo 8 puntos amarillo - Rectángulo 2 puntos gris;91
A - C5 - N7;340311012;Triángulo morado plano;180
A - C5 - N8;310010089;Rectángulo 8 puntos gris - Rectángulo 2 puntos morado;110
A - C6 - N1;310092015;Rectángulo 8 puntos azul - Rectángulo 2 puntos morado;111
A - C6 - N2;127082712;Hélice fucsia;101
A - C6 - N3;315077019;Rectángulo 16 puntos azul / morado - Rectángulo 8 puntos verde;89
A - C6 - N4;310093218;Trapecio pequeño negro;119
A - C6 - N5;127082735;Tapa negra ;90
A - C6 - N6;318900001;Triángulo blanco plano;180
A - C6 - N7;315077021;Triángulo negro plano;164
A - C6 - N8;310010088;Rines rojos - Triángulo negro;108
A - C7 - N1;310099997;Rectángulo 8 puntos azul - Rectángulo 8 puntos gris;90
A - C7 - N2;127082713;Rectángulo 16 puntos verde - Rectángulo 2 puntos gris;88
A - C7 - N3;310080808;Trapecio pequeño fucsia;121
A - C7 - N4;304600012;Rectángulo 16 puntos rojo - Rectángulo 4 puntos rojo;83
A - C7 - N5;304600120;Rectángulo 8 puntos morado - Rines rojos;121
A - C7 - N6;304600030;Rectángulo 16 puntos azul / morado - Rectángulo 16 puntos rojo;67
A - C7 - N7;127082728;Portavasos verde;72
A - C7 - N8;310080800;Rectángulo 8 puntos verde - Rectángulo 2 puntos gris;68
A - C8 - N1;304600035;Rectángulo 8 puntos azul - Rectángulo 8 puntos amarillo;109
A - C8 - N2;127082745;Tapa azul / morado;96
A - C8 - N3;310094027;Rectángulo 16 puntos azul / morado - Rectángulo 8 puntos gris;87
A - C8 - N4;310092019;Vaquero variado verde;106
A - C8 - N5;333390433;Rectángulo 8 puntos amarillo - Rectángulo 8 puntos morado;120
A - C8 - N6;303540063;Rectángulo 8 puntos gris - Rines rojos;92
A - C8 - N7;300005087;Rectángulo 8 puntos gris - Porta ejes negro cuadrado;96
A - C8 - N8;315043126;Rectángulo 8 puntos amarillo - Plana verde;103
B - C1 - N1;300005055;Rectángulo 8 puntos azul - Rectángulo 2 puntos negro;90
B - C1 - N2;127082715;Pinza negra ;92
B - C1 - N3;310094038;Vara Fucsia;100
